# volk-harness-report v2
kernel,impl,mode,result,failed_vlens,max_err
volk_16i_32fc_dot_prod_32fc,a_avx2,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16i_32fc_dot_prod_32fc,a_avx2_fma,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16i_32fc_dot_prod_32fc,a_sse,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16i_32fc_dot_prod_32fc,generic,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16i_32fc_dot_prod_32fc,u_avx2,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16i_32fc_dot_prod_32fc,u_avx2_fma,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16i_32fc_dot_prod_32fc,u_sse,canary,partial,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 131071 1000003 ,
volk_16i_32fc_dot_prod_32fc,a_avx2,immutable,ok,,
volk_16i_32fc_dot_prod_32fc,a_avx2_fma,immutable,ok,,
volk_16i_32fc_dot_prod_32fc,a_sse,immutable,ok,,
volk_16i_32fc_dot_prod_32fc,generic,immutable,ok,,
volk_16i_32fc_dot_prod_32fc,u_avx2,immutable,ok,,
volk_16i_32fc_dot_prod_32fc,u_avx2_fma,immutable,ok,,
